"Zeitstempel","Bitte geben Sie drei Informatik-Themen an, die Sie besonders interessieren würden und die Ihrer Meinung nach im Fach Informatik unterrichtet werden sollten.","Und welche drei Informatik-Themen fänden Sie überhaupt nicht spannend?","Ich habe/hatte bereits ein Fach ""Informatik"" oder ""Medien und Informatik"" an der Schule.","Ich habe ein gutes Leseverständnis.","Ich habe mich nie besonders fürs Fach Informatik begeistert.","Ich bin gut in Mathematik.","Im Fach Informatik haben mich meine Klassenkameraden immer um Hilfe gebeten.","Ich bin schlecht bei Aufgaben, die sprachliche Fähigkeiten erfordern.","Ich war in Mathematik immer gut.","Ich bin bei Aufgaben, die Informatik-Denken erfordern, nie gut.","Ich kann mich sprachlich gut ausdrücken.","Ich war bisher gut im Fach Informatik.","Ich habe Verständnisschwierigkeiten bei allem, für das man Mathematik braucht.","Das Fach Informatik kann ich nicht ausstehen.","Ich kann mich schlecht schriftlich ausdrücken.","Ich war im Fach Informatik immer gut.","Ich habe ein gutes Leseverständnis..1","Ich glaube, ich würde mich nicht besonders fürs Fach Informatik begeistern.","Ich bin gut in Mathematik..1","Ich denke, ich wäre im Fach Informatik eher besser als meine Klassenkameraden.","Ich bin schlecht bei Aufgaben, die sprachliche Fähigkeiten erfordern..1","Ich war in Mathematik immer gut..1","Ich schätze, Informatik-Aufgaben würden mir ziemlich Probleme bereiten.","Ich kann mich sprachlich gut ausdrücken..1","Ich wäre sicher gut im Fach Informatik.","Ich habe Verständnisschwierigkeiten bei allem, für das man Mathematik braucht..1","Ich kann mich schlecht schriftlich ausdrücken..1","Ich bin gut darin, zum logischen Kern eines Problems vorzudringen.","Ich benutze den Computer, weil mich das sehr interessiert.","Wenn ich eine eigene Geheimschrift entwickeln müsste, hätte ich ein paar gute Ideen.","Im Umgang mit Computern stelle ich mich sehr geschickt an.","Ich erkenne schnell Muster in Zahlen, Texten oder Bildern.","Das Verwenden von Formeln in Excel bereitet mir Schwierigkeiten.","Ich bin bei Aufgaben, die logisches Denken erfordern, relativ gut.","Wenn es um MB/s, Gigabyte und Megapixel geht, blicke ich nie durch.","Am Computer zu spielen oder zu arbeiten macht mir richtig Spass.","Tippfehler oder sonstige Ungenauigkeiten in Texten oder Grafiken fallen mir sofort auf.","Ich fände es spannend, eine neue Sprache mit eigener Grammatik zu erfinden.","Man kann mich schon als Computer-Profi bezeichnen.","Alter","Geschlecht","Muttersprache","Aktuelle Schule / Schulniveau","Aktuelles Schuljahr"
"2021/06/03 10:33:25 AM OEZ","OneNote
Word
Tastatur-Kombinationen","Excel","Ja","3","4","1","1","2","1","3","4","1","3","4","2","2","","","","","","","","","","","","3","3","1","1","2","3","3","4","3","4","1","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:33:28 AM OEZ","Visual Design, Word, Programmieren","Excel, Grundlegende Basis (Dateien sichern e.t.c.","Ja","4","2","3","1","2","3","2","3","4","2","2","3","3","","","","","","","","","","","","3","3","3","3","2","3","4","1","3","3","2","3","15","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:33:54 AM OEZ","","","Ja","3","3","2","2","2","3","3","4","2","3","2","1","2","","","","","","","","","","","","2","4","3","2","3","2","4","3","4","2","3","2","16","männlich","andere","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:35:53 AM OEZ","Programmieren, Wirtschaftsinformatik, wie ein Computer aufgebaut ist ","Wie Internet, WLAN finktionieren ","Nein","","","","","","","","","","","","","","3","4","1","2","1","1","3","3","1","4","1","1","1","2","3","3","2","2","4","1","1","1","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:54:13 AM OEZ","Programiersprachen
Eigenes Projekt mit Lego Mindstorms
Raspberry pi","Scrach
Vereinfachtes programieren
Programm auf ti-82/84","Nein","","","","","","","","","","","","","","3","4","3","2","1","3","3","3","3","1","3","3","3","3","4","4","3","4","1","4","2","2","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:00:17 AM OEZ","Computer Schutz, Programmieren, Informatik im Alltag","Geogebra, Umgang mit Exel, Umgang Informatik ","Nein","","","","","","","","","","","","","","3","2","3","2","2","3","2","3","2","2","3","2","3","4","3","2","3","3","3","3","3","3","2","16","weiblich","Deutsch","Gymnasium","Sekundarstufe 1. Klasse"
"2021/06/03 11:15:26 AM OEZ","Tastaturschreiben, umgang mit world, power ponit","Programmieren, excel, tabellen","Nein","","","","","","","","","","","","","","4","3","1","2","4","1","3","3","2","2","1","1","1","4","2","2","2","1","4","4","2","2","1","17","weiblich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:17:03 AM OEZ","Tastaturschreiben, Word, Power Point","Excel, Programmieren, Funktion des Internets","Ja","3","3","3","2","2","2","2","3","3","2","3","2","3","","","","","","","","","","","","2","2","3","2","2","3","3","3","3","3","3","2","17","weiblich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:18:11 AM OEZ","Tastaturschreiben, Words und Power Point","Programmieren, excl und Tabellen","Nein","","","","","","","","","","","","","","3","3","4","2","3","4","2","2","3","1","2","2","3","4","2","3","2","3","2","3","2","2","2","18","weiblich","andere","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:24:06 AM OEZ","Programmieren 
Hacken 
","Excel 
Word 
PowerPoint ","Nein","","","","","","","","","","","","","","3","1","4","3","1","4","1","3","3","4","2","3","3","4","4","3","1","3","1","4","4","4","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:33:29 AM OEZ","Einfaches programmieren, Besserer Excel Umgang, Besserer Word Umgang","Powerpoint","Ja","4","2","1","3","1","1","2","3","4","2","1","2","4","","","","","","","","","","","","3","4","2","4","2","2","3","4","4","3","2","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:34:35 AM OEZ","Umgang mit Excel, Powerpoint etc.
Umgang mit z.B Photoshop","","Nein","","","","","","","","","","","","","","3","2","3","2","2","3","2","3","3","2","2","3","2","2","2","3","2","3","3","3","2","2","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:51:38 AM OEZ","","","Ja","3","2","3","3","2","3","3","2","3","2","1","1","3","","","","","","","","","","","","2","4","2","3","3","1","2","1","4","4","2","2","18","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:54:43 AM OEZ","","","Nein","","","","","","","","","","","","","","3","3","2","2","2","3","4","3","","","","","","","","","","","","","","","","","","","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:02:14 PM OEZ","Bandit( wurde mir empfholen), Sachen aus Spass hacken. Ich habe doch keine Ahnung.","Excel, Word, TR-programmieren","Nein","","","","","","","","","","","","","","3","4","3","1","1","1","4","3","1","3","2","2","2","4","3","2","3","2","3","3","4","4","2","16","","andere, Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:02:15 PM OEZ","Bandit, LaTex, Taschenrechner programmieren","Teams, World , Exel","Nein","","","","","","","","","","","","","","2","1","4","3","2","4","2","3","4","1","2","4","2","4","2","4","2","4","2","3","2","3","3","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:03:40 PM OEZ","LaTex, Linux, Taschenrechner programmieren","Exel, Teams, Windows","Ja","4","2","3","3","2","4","2","4","2","1","1","1","3","","","","","","","","","","","","4","3","1","4","4","3","4","2","4","3","1","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:05:17 PM OEZ","Linux, Latex, online Games(Bandit)","Word, Exel","Ja","3","1","3","2","1","4","1","3","3","1","1","1","3","","","","","","","","","","","","4","4","3","4","3","1","4","1","4","3","2","4","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:06:44 PM OEZ","10 Finger System, programmieren, gestaltung","Word, excel, PowerPoint ","Nein","","","","","","","","","","","","","","3","2","2","1","2","2","3","4","2","3","2","3","2","4","2","3","4","3","2","3","3","4","1","15","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:12:38 PM OEZ","Turtle Graphics, Bandit, LaTex","Word, Excel, PowerPoint ","Nein","","","","","","","","","","","","","","3","1","4","3","3","4","1","3","4","1","2","3","4","3","4","3","1","4","2","4","3","2","2","17","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:20:17 PM OEZ","Digitalisierung von Audiosignalen.

Möglichkeiten und Grenzen der digitalen Bildverarbeitung.

Digitale Audioverarbeitung","Dualsysteme und die Codierung von Computern

Programmiersprache

Virenschutz
","Ja","3","2","2","2","1","2","2","4","3","2","3","1","2","","","","","","","","","","","","2","2","1","3","2","2","3","2","3","4","2","2","16","weiblich","Deutsch, andere, andere","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:21:16 PM OEZ","","","Nein","","","","","","","","","","","","","","4","2","3","3","1","3","2","3","3","2","1","3","2","1","3","2","3","3","3","2","4","1","2","","","","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:38:45 PM OEZ","","","Ja","3","3","2","2","3","3","2","3","3","2","2","2","3","","","","","","","","","","","","2","2","3","2","2","2","3","3","2","2","4","3","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:43:06 PM OEZ","","","Nein","","","","","","","","","","","","","","4","3","2","1","2","2","2","3","2","4","1","1","1","1","1","1","2","2","4","3","3","2","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:43:07 PM OEZ","","","Nein","","","","","","","","","","","","","","4","4","3","2","1","3","2","4","2","2","1","3","1","4","1","3","2","3","4","1","3","2","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 12:46:14 PM OEZ","Programmieren
Hacken
Viren","Datenschutz
Aufbau eines Computers","Nein","","","","","","","","","","","","","","4","3","3","3","3","4","2","3","2","1","2","4","2","2","2","3","2","4","3","4","2","2","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 1:04:12 PM OEZ","Programmieren (Python speziell)","Microsoft office, website gestaltung, robtik wie in der sekundar","Ja","4","2","2","4","1","2","2","4","3","3","1","1","3","","","","","","","","","","","","3","2","3","3","4","2","3","3","4","3","3","2","17","männlich","andere","Sekundarstufe Niveau P","FMS/Gymnasium 1. Klasse"
"2021/06/03 1:14:18 PM OEZ","Wie man eine PowerPoint Präsentation richtig gestaltet, Taschenrechner programmieren, Zehnfingersystemen erlernen ","Tabellenkalkulation( excel)","Nein","","","","","","","","","","","","","","4","3","","2","2","3","3","3","2","2","3","3","2","2","2","3","3","3","3","2","3","2","2","15","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 4. Klasse"
"2021/06/03 1:28:03 PM OEZ","Programmieren, Fotoshop, excel ","-","Nein","","","","","","","","","","","","","","3","3","3","3","2","3","2","3","3","2","2","4","2","3","2","3","2","4","2","3","3","3","2","17","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 1:49:32 PM OEZ","Programmieren, Websiten erstellen, Zehnfingersystem lernen","Exel, Powerpoint, ","Nein","","","","","","","","","","","","","","3","4","3","2","2","2","2","3","2","2","2","2","2","1","3","2","2","3","2","3","3","2","2","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 1:51:14 PM OEZ","coding, animation, filmmaking","excel, word, powerpoint","Nein","","","","","","","","","","","","","","4","2","3","1","1","1","4","4","2","2","1","1","2","4","2","3","1","2","4","3","2","4","1","18","weiblich","Englisch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 2:53:52 PM OEZ","Website Aufbau","","Nein","","","","","","","","","","","","","","3","2","3","2","2","4","2","2","2","2","2","2","2","3","2","2","3","3","3","3","3","2","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 3:08:21 PM OEZ","Programmieren","10-Fingersystem, Excel, binäre Schreibweise","Ja","3","4","4","2","2","4","2","3","3","1","3","1","3","","","","","","","","","","","","3","3","4","3","3","2","3","3","4","3","1","2","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 4:15:12 PM OEZ","Programmieren, Designen, Film und Videos bearbeiten","Betriebssysteme, Word, Powerpoint","Ja","3","3","4","1","3","4","1","3","4","1","2","3","4","","","","","","","","","","","","3","3","4","3","4","1","2","4","3","1","2","2","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 4:18:04 PM OEZ","","","Nein","","","","","","","","","","","","","","4","2","3","1","2","4","2","3","2","1","2","3","2","4","3","3","1","4","2","4","2","3","1","","","","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 4:25:48 PM OEZ","cyber-sicherheit; Aufbau eines Pc; Grundlegendes wissen über Programme und Programmieren","Tastaturschreiben; Bedienung von Word (oder wenn, dann nur sehr kurz); zu allgemeines, ich denke man kann von Gymnasium-Schülern einiges an technisches Vorwissen erwarten, also sollte die Messlatte nicht zu niedrig gesetzt werden.","Ja","4","2","3","1","1","3","1","3","4","1","1","1","3","","","","","","","","","","","","4","3","3","3","4","1","4","1","4","4","1","2","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 4:29:12 PM OEZ","","","Nein","","","","","","","","","","","","","","4","2","4","2","1","4","2","4","3","1","1","4","3","3","3","4","1","4","2","3","3","2","2","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 5:04:47 PM OEZ","Artificial Intelligence (AI), Agile Methods, Market tools/neue informatik tools, Apps programmieren","Coding mit alten Technologien, Dokumentieren, dasselbe mehrfach codieren","Nein","","","","","","","","","","","","","","3","3","3","1","3","2","1","4","2","2","2","2","3","1","3","4","1","2","3","4","4","4","3","16","weiblich","andere","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 5:11:26 PM OEZ","Internet,Programieren, Sichherheit im Internet","Algorithmen, Datenbanken,","Nein","","","","","","","","","","","","","","4","2","1","2","1","1","4","4","3","1","1","1","1","1","2","1","4","1","4","4","4","1","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 5:50:04 PM OEZ","Algorithmen, 3D-Modelle, CGI","","Ja","3","1","3","2","1","3","2","3","3","2","1","1","3","","","","","","","","","","","","4","2","3","1","3","2","4","2","3","2","4","2","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 7:49:45 PM OEZ","Das Arbeiten mit Word und PowerPoint. Alttagssituationen am Compuer wie z.B Fotos berarbeitem, Ordner erstellen oder Sachen downloaden.","Excel, 10-Fingersystem, Programieren ","Ja","3","3","3","1","2","3","3","4","1","1","4","1","1","","","","","","","","","","","","4","1","2","2","3","2","4","1","1","4","1","1","16","männlich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 8:07:21 PM OEZ","Programmieren, Grundtechniken, Fotoshop","Tastaturschreiben, Erklärung der Nutzung des Internets, Grundausstattung des Computers ","Ja","3","2","3","4","3","2","2","3","3","1","2","2","3","","","","","","","","","","","","3","3","2","3","2","2","3","3","2","2","1","2","17","weiblich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 9:30:04 PM OEZ","","","Nein","","","","","","","","","","","","","","4","4","1","1","1","2","4","4","2","4","1","3","2","3","3","4","3","3","1","2","4","4","1","16","anderes","","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 9:32:22 PM OEZ","Programmieren, Komponenten der Computer, Die künstlerische und kreative Anwendung der Adobe/Microsoft Programme. (Gestaltung von Videos, Fotos, Musik, PDF etc.)","Excel und Word wurden in der Sekundar sehr gründlich durchgenommen. ","Ja","3","1","1","4","1","1","1","4","4","3","1","1","4","","","","","","","","","","","","3","4","4","4","4","1","3","1","4","4","4","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 9:42:16 PM OEZ","Programmieren, Designen, Verständnis wie ein Computer aufgebaut ist","Textbearbeitung, Tabellenkalkulation, 10 Finger schreiben","Ja","3","2","2","2","2","2","2","3","3","2","2","2","3","","","","","","","","","","","","3","3","3","3","3","2","3","2","4","3","3","3","16","männlich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:01:27 PM OEZ","Programmieren, Adobe Programme, Anwendung des Computers im Alltag","Access, Word, Drop Box","Ja","4","3","1","1","3","1","3","4","2","3","1","1","2","","","","","","","","","","","","1","3","1","2","3","4","4","3","3","4","2","1","17","männlich","Deutsch","Sekundarstufe Niveau P","FMS/Gymnasium 1. Klasse"
"2021/06/04 7:48:33 AM OEZ","","","Nein","","","","","","","","","","","","","","3","2","1","1","2","1","3","3","1","1","2","1","3","3","2","3","4","2","4","3","4","3","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/04 8:41:52 AM OEZ","Wie schreibt man eine Arbeit?Bericht..
Wie kann ich die digitalen Medien in bez. auf den Unterricht/das Lernen umsetzen
Fächerübergreifende Projekt","Nur Exceltabellen zu erstellen ohne persönlichen Bezug","Nein","","","","","","","","","","","","","","2","3","2","1","2","1","2","3","2","2","2","2","2","4","1","1","4","2","4","2","3","3","1","17","weiblich","Italienisch und Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/04 9:29:13 AM OEZ","Programmieren von Apps,
Firewalls installieren,
Viren erkennen","Skripte schreiben,
Photoshop,
Programmiersprache lernen","Ja","4","3","2","1","1","2","2","4","3","1","1","1","3","","","","","","","","","","","","4","2","3","2","3","2","4","2","3","1","2","2","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/04 9:35:43 AM OEZ","Software Entwicklung, Datenbank, Algorithmen","","Nein","","","","","","","","","","","","","","4","3","2","2","2","2","2","4","3","3","2","2","2","3","3","3","2","3","3","4","4","2","2","15","anderes","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/04 10:32:30 AM OEZ","3D-Modell, Gefahren im Internet, Viren","Programmiersprache Python, Binärsystem, ","Ja","4","3","4","2","1","4","4","4","2","1","2","1","1","","","","","","","","","","","","4","2","2","2","3","3","4","4","2","3","4","1","18","weiblich","Englisch","Gymnasium","FMS/Gymnasium 2. Klasse"
"2021/06/04 2:47:45 PM OEZ","Systeminformatik","Programmieren, Bedienung von Office ","Nein","","","","","","","","","","","","","","3","3","2","2","1","2","2","4","2","3","1","3","2","3","2","4","3","4","2","3","2","3","1","15","männlich","Deutsch","Sekundarstufe Niveau P","Sekundarstufe 3. Klasse"
"2021/06/04 6:38:01 PM OEZ","","","Nein","","","","","","","","","","","","","","3","2","2","1","2","1","2","2","2","2","2","2","3","2","2","3","2","4","2","3","2","1","2","17","weiblich","andere ","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/04 11:03:29 PM OEZ","Programmiersprache beherrschen, excel beherrschen, Graphen zeichnen","-","Nein","","","","","","","","","","","","","","4","3","3","2","1","3","2","3","2","1","1","3","2","3","2","3","3","4","4","2","4","1","1","17","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 2. Klasse"
"2021/06/04 11:06:53 PM OEZ","Programmiersprachen lernen, über Computerkomponenten lernen, Linux genauer betrachten","Langweilige Programme machen (wie zum Beispiel das Turtle programm...), die simplen Themen die man normalerweise schon kann (Word, Excel, etc.)","Nein","","","","","","","","","","","","","","2","1","3","2","3","3","2","3","2","2","3","3","2","1","3","3","2","3","3","4","3","2","2","16","","andere","Ich wäre am Gymnasium, mache aber ein Austauschjahr","FMS/Gymnasium 2. Klasse"
"2021/06/05 12:03:00 AM OEZ","Basic Programmieren, Cybersecurity for everyday use, cmd und so usen e.g. Task manager etc","Idk hatten eig nur programmieren und das war relativ lw aber mit lustigen, spannenden, relatbale aufgaben kann man das sicher spannender gestalten","Ja","3","2","3","2","3","3","2","2","2","2","2","2","2","","","","","","","","","","","","3","2","2","3","3","2","3","2","3","2","2","2","16","männlich","andere","Gymnasium","FMS/Gymnasium 2. Klasse"
"2021/06/05 9:00:58 AM OEZ","Verschlüsselungen, Funktionsweise von Suchmaschinen, Logische Funktionen ","Dualsystem,  Sortieralgorithmus, Komprimier Algorithmen ","Nein","","","","","","","","","","","","","","4","2","2","1","1","2","2","4","2","4","1","3","1","2","2","2","4","3","3","2","3","2","1","17","weiblich","Spanisch","Gymnasium","FMS/Gymnasium 2. Klasse"
"2021/06/05 10:03:55 AM OEZ","Programmierung, Photoshop, Website herstellen","Word, powerpoint, Excel ","Ja","3","1","4","3","3","4","2","2","3","2","1","3","3","","","","","","","","","","","","3","4","2","3","2","1","3","1","3","3","1","2","18","männlich","Spanisch ","Gymnasium","FMS/Gymnasium 2. Klasse"
"2021/06/05 12:44:18 PM OEZ","Programierbasics, Verschlüsselung, Krypto","","Nein","","","","","","","","","","","","","","3","2","3","2","2","4","3","4","2","1","2","3","1","2","1","3","2","3","2","3","1","4","1","18","männlich","Deutsch","Gymnasium","FMS/Gymnasium 2. Klasse"
"2021/06/06 2:48:38 PM OEZ","Java Grundkenntnisse ","-","Nein","","","","","","","","","","","","","","3","4","4","4","2","4","1","4","4","1","2","4","4","4","4","3","1","4","1","4","3","4","3","17","männlich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/06 8:45:43 PM OEZ","Word, Tastaturschrieben, Powerpoint","Tabellen, Excel, Computer Technik","Ja","3","3","3","1","2","3","2","3","3","2","2","1","3","","","","","","","","","","","","3","2","3","3","2","3","3","2","2","3","3","3","17","weiblich","Deutsch","FMS","FMS/Gymnasium 2. Klasse"
"2021/06/07 1:46:52 PM OEZ","Excel, Zehnfingersystem, 3D-modeling","Programmiersprachen, Binärsystem, Graphen und so","Ja","4","1","3","1","3","3","1","3","4","1","1","2","4","","","","","","","","","","","","3","4","3","4","3","3","3","1","4","3","4","4","17","männlich","andere","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/07 1:47:06 PM OEZ","3D-Modelling, Python, Windows-Shortcuts","10-Fingersystem, Excel, Binärsystem","Nein","","","","","","","","","","","","","","3","2","3","3","3","2","2","2","3","2","2","3","4","1","3","3","1","3","2","4","4","2","3","17","männlich","Englisch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/07 5:23:34 PM OEZ","Grafik Programme kennenlernen, Zeichnungsprogramme, Photoshop","Programieren von computern, oder Robotern (haben wir schon in mint gemacht), Ram, Feschtplatten","Nein","","","","","","","","","","","","","","3","4","3","1","2","3","4","3","3","2","3","3","1","3","1","3","4","3","4","1","2","4","1","17","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/10 7:01:33 AM OEZ","Hacken (Prävention)
Programmieren
Allgemein Wissen über Computer","Arbeit mit Word, Excel","Ja","3","4","4","3","3","4","3","2","2","1","4","3","2","","","","","","","","","","","","4","3","4","2","4","4","4","2","1","4","2","1","16","weiblich","Englisch","Gymnasium","FMS/Gymnasium 1. Klasse"
